Course Code,Course Name,Instructor,Credits,Slot,Classroom,Location,Slot Schedule,Label,School,For the Students,Additional Info
PH528,INTRODUCTION TO GENERAL RELATIVITY,DR. RAHUL KUMAR KOTHARI,3,G,A5-2,South Campus,"Tuesday 9:00–9:50am, Thursday 8:00–8:50am, Friday 10:00–10:50am",5,SPS,M.Sc. Any Semester,
PH600,RESEARCH METHODOLOGY,DR. ARTI KASHYAP,1,,,,Unknown Slot,,,Core for PhD all semester,
PH601,MESOSCOPIC PHYSICS AND QUANTUM TRANSPORT,DR. AJAY SONI,3,,,,Unknown Slot,,,M.Sc. Any Semester,
PH603,ADVANCED CONDENSED MATTER PHYSICS,DR. CHADR SHEKHAR YADAV,3,,,,Unknown Slot,,,M.Sc. Any Semester,
PH613,SPE. TOPICS. IN QM,DR. NIRMALYA KAJURI,3,H,A1-NKN,South Campus,"Tuesday 10:00–10:50am, Wednesday 12:00–12:50pm, Friday 9:00–9:50am",6,SPS,Msc 2nd year,M. Sc (Physics) DC Courses
PH626,ELEMENTARY THEORETICAL PARTICLE PHYSICS,DR. PRABHAKAR PALNI,3,,,,Unknown Slot,,,M.Sc. Any Semester,
QS501P,EXPERIMENTS IN QUANTUM OPTICS,DR. AMIT DATTATRAYA LAD,3,,,,Unknown Slot,,,For the B.Tech Students who wish to opt for Specialization and Minor,
QT301,SURVEY OF QUANTUM TECHNOLOGIES AND APPLICATIONS,DR. VAIBHAV GUPTA,3,,,,Unknown Slot,,,For the B.Tech Students who wish to opt for Specialization and Minor,
SC600,RESEARCH METHODOLOGY,DR. SRIKANTH SUGAVANAM,1,,,,Unknown Slot,,,For all M. Tech. R and PhD Scholars,
VL312,ELECTRONIC SYSTEM PACKAGING,DR. ROBIN  KHOSLA,3,G,A17-1C,North Campus,"Tuesday 9:00–9:50am, Thursday 8:00–8:50am, Friday 10:00–10:50am",3,SCEE,"3rd Year, sem-5",
VL401,RTL DESIGN AND VERIFICATION,DR. BIKRAM PAUL,3,A,A17-1C,North Campus,"Monday 8:00–8:50am, Tuesday 11:00–11:50am, Thursday 9:00–9:50am, Friday 12:00–12:50pm",4,SCEE,"3rd Year, sem-5",B. Tech (VLSI) DC Courses
VL402,RFIC DESIGN,DR. ANIMESH BISWAS,3,B,A17-1C,North Campus,"Monday 9:00–9:50am, Tuesday 12:00–12:50pm, Thursday 10:00–10:50am, Wednesday 5:00–5:50pm",4,SCEE,"3rd Year, sem-5",
VL403,CMOS DIGITAL IC DESIGN,DR. RAHUL SHRESTHA,4,F,A17-1C,North Campus,"Monday 5:00–5:50pm, Tuesday 8:00–8:50am, Wednesday 10:00–10:50am, Friday 11:00–11:50am",4,SCEE,"3rd Year, sem-5",
VL404,CMOS ANALOG IC DESIGN,DR. HITESHBHAI KANTILAL SHRIMALI,4,C,A17-1C,North Campus,"Monday 10:00–10:50am, Tuesday 5:00–5:50pm, Wednesday 8:00–8:50am, Thursday 11:00–11:50am",4,SCEE,"3rd Year, sem-5",
VL405,DESIGN FOR TESTABILITY,DR. SHUBHAJIT ROY CHOWDHURY,4,E,A17-1C,North Campus,"Monday 12:00–12:50pm, Wednesday 11:00–11:50am, Friday 9:00–9:50am",4,SCEE,"3rd Year, sem-5",
