Course Code,Course Name,Instructor,Credits,Slot,Classroom,Location,Slot Schedule,Label,School,For the Students,Additional Info
MA511,REAL ANALYSIS,DR. SASWATA ADHIKARI,4,A,A1-3,South Campus,"Monday 8:00–8:50am, Tuesday 11:00–11:50am, Thursday 9:00–9:50am, Friday 12:00–12:50pm",5,SMSS,Core for MSc 1st Year and Elective for Other,M. Sc (Applied Mathematics)  DC Courses
MA512,LINEAR ALGEBRA,DR. MUSLIM MALIK,4,B,A1-3,South Campus,"Monday 9:00–9:50am, Tuesday 12:00–12:50pm, Thursday 10:00–10:50am, Wednesday 5:00–5:50pm",5,SMSS,Core for MSc 1st Year and Elective for Other,M. Sc (Applied Mathematics)  DC Courses
MA513,ORDINARY DIFFERENTIAL EQUATION,DR. RAKESH KUMAR,4,C,A1-3,South Campus,"Monday 10:00–10:50am, Tuesday 5:00–5:50pm, Wednesday 8:00–8:50am, Thursday 11:00–11:50am",5,SMSS,Core for MSc 1st Year and Elective for Other,M. Sc (Applied Mathematics)  DC Courses
MA514,COMPUTER PROGRAMMING,DR. TANMAY KAYAL,3,E,A1-3,South Campus,"Monday 12:00–12:50pm, Wednesday 11:00–11:50am, Friday 9:00–9:50am",5,SMSS,Core for MSc 1st Year and Elective for Other,M. Sc (Applied Mathematics)  DC Courses
MA514P,COMPUTER PROGRAMMING LAB,DR. TANMAY KAYAL,2,,,,Unknown Slot,,,Core for MSc 1st Year and Elective for Other,
MA515,APPLIED MATHEMATICAL PROGRAMMING,DR. PREETI,4,G,A1-3,South Campus,"Tuesday 9:00–9:50am, Thursday 8:00–8:50am, Friday 10:00–10:50am",5,SMSS,Core for MSc 1st Year and Elective for Other,M. Sc (Applied Mathematics)  DC Courses
MA530,GRAPH THEORY,DR. MIRZA GALIB ANWARUL HUSAIN BAIG,4,G,A13-2A,North Campus,"Tuesday 9:00–9:50am, Thursday 8:00–8:50am, Friday 10:00–10:50am",5,SMSS,Discipline Elective for MSc Math,
MA548,ABSTRACT ALGEBRA,DR. VIKASH TRIPATHI,4,,,,Unknown Slot,,,Discipline Elective,M. Sc (Applied Mathematics)  DC Courses
MA552,NUMBER THEORY AND CRYPTOGRAPHY,DR. SAMAR,3,,,,Unknown Slot,,,Elective for all UG/PG,Elective
MA581P,POST GRADUATE PROJECT I,DR. SAMPAT KUMAR SHARMA,6,,,,Unknown Slot,,,"MSc Math, 2nd Yueat",DC Core for MSc Applied Math
MA595,CALCULUS AS GANITA,DR. RAJENDRA KUMAR RAY,3,,,,Unknown Slot,,,Elective,M. Sc (Applied Mathematics)  DC Courses
MA605,STATISTICAL DATA ANALYSIS,DR. SARITA AZAD,3,,,,Unknown Slot,,,Discipline Elective,M. Sc (Applied Mathematics)  DC Courses
MA609,NUMERICS OF PDE,DR. RAJENDRA KUMAR RAY,3,D,A1-3,South Campus,"Monday 11:00–11:50am, Wednesday 9:00–9:50am, Thursday 12:00–12:50pm",6,SMSS,Discipline Elective,M. Sc (Applied Mathematics)  DC Courses
MA765,FRACTIONAL DIFFERENCIAL EQUATION,DR. SYED ABBAS,4,H,A1-3,South Campus,"Tuesday 10:00–10:50am, Wednesday 12:00–12:50pm, Friday 9:00–9:50am",7,SMSS,Discipline Elective,M. Sc (Applied Mathematics)  DC Courses
MB201,FOUNDATIONS OF BUSINESS MANAGEMENT,DR. DECHEN ANGMO,4,,,,Unknown Slot,,,IMBA 1st Year,Only for IMBA
MB202,MICROECONOMICS,DR. MASUDUL HASAN ADIL,3,,,,Unknown Slot,,,IMBA 1st Year,Only for IMBA
MB291,MANAGEMENT WORKSHOP I,DR. DECHEN ANGMO (LC),1,,,,Unknown Slot,,,IMBA 1st Year,Only for IMBA
MB302,BUSINESS LAW,DR. SAUMYA DIXIT (LC),3,,,,Unknown Slot,,,IMBA 2nd Year,Only for IMBA
MB303,FINANCIAL ACCOUNTING,DR. PURAN SINGH,3,,,,Unknown Slot,,,IMBA 2nd Year,Only for IMBA
MB304,ETHICS AND VALUES,DR. RIDHI ARORA,3,,,,Unknown Slot,,,IMBA 2nd Year,Only for IMBA
MB305,BUSINESS COMMUNICATION,DR. DECHEN ANGMO (LC),3,,,,Unknown Slot,,,IMBA 2nd Year,Only for IMBA
MB509,INTRODUCTION TO BHAGAVAD GITA,PROF. LAXMIDHAR BEHERA,2,,,,Unknown Slot,,,MBA 1st Year,Only for MBA and SOM PhD
MB510,PROBABILITY AND STATISTICS FOR DATA SCIENCE/AI ML,PROF. ANJAN KUMAR SWAIN (LC),2,,,,Unknown Slot,,,MBA 1st Year,Only for MBA and SOM PhD
MB511,PYTHON PROGRAMMING,PROF. MANOJ THAKUR,2,,,,Unknown Slot,,,MBA 1st Year,Only for MBA and SOM PhD
MB512,MATHEMATICAL FOUNDATIONS FOR DS/AI ML,DR. ANJAN KUMAR SWAIN,2,,,,Unknown Slot,,,MBA 1st Year,Only for MBA and SOM PhD
MB514,COMMUNICATION SKILLS FOR MANAGERS,DR. RIDHI ARORA (LC),2,,,,Unknown Slot,,,MBA 1st Year,Only for MBA and SOM PhD
MB515,FINANCIAL STATEMENT ANALYSIS,DR. PURAN SINGH (LC),2,,,,Unknown Slot,,,MBA 1st Year,Only for MBA and SOM PhD
MB516,MANAGERIAL ECONOMICS,DR. MASUDUL HASAN ADIL,2,,,,Unknown Slot,,,MBA 1st Year,Only for MBA and SOM PhD
MB517,MARKETING MANAGEMENT 1,DR. SAUMYA DIXIT,2,,,,Unknown Slot,,,MBA 1st Year,Only for MBA and SOM PhD
MB519,"CREATIVE THINKING, PROBLEM SOLVING AND DECISION MAKING",DR. ASHISH BOLLIMBALA,2,,,,Unknown Slot,,,MBA 1st Year,Only for MBA and SOM PhD
MB525,QUALITATIVE RESEARCH METHODS,DR. DECHEN ANGMO (LC),2,,,,Unknown Slot,,,MBA 2nd Year,Only for MBA and SOM PhD
MB528,HUMAN RESOURCE MANAGEMENT,DR. RIDHI ARORA,2,,,,Unknown Slot,,,MBA 2nd Year,Only for MBA and SOM PhD
MB530,NEURAL NETWORKS FUNDAMENTALS FOR BUSINESS,PROF. ANJAN KUMAR SWAIN,2,,,,Unknown Slot,,,MBA 2nd Year,Only for MBA and SOM PhD
MB532,"DIGITAL BUSINESS STRATEGY, MODELS AND TRANSFORMATIONS",DR. RIDHI ARORA (LC),2,,,,Unknown Slot,,,MBA 2nd Year,Only for MBA and SOM PhD
MB533,ENTREPRENEURSHIP,DR. PURAN SINGH,2,,,,Unknown Slot,,,MBA 2nd Year,Only for MBA and SOM PhD
MB534,MANAGEMENT PROJECT I,DR. SAUMYA DIXIT,4,,,,Unknown Slot,,,MBA 2nd Year,Only for MBA
MB537,BUSINESS AND DATA LEADERSHIP,PROF. ANJAN KUMAR SWAIN (LC),2,,,,Unknown Slot,,,MBA 2nd Year,Only for MBA and SOM PhD
MB538,MANAGEMENT INSIGHTS FROM INDIAN KNOWLEDGE SYSTEM,DR. DECHEN ANGMO (LC),2,,,,Unknown Slot,,,MBA 2nd Year,Only for MBA and SOM PhD
MB562,OPERATIONS MANAGEMENT,DR. ASHISH BOLLIMBALA (LC),2,,,,Unknown Slot,,,MBA 1st Year,Only for MBA and SOM PhD
MB570,PRODUCT MANAGEMENT,DR. SAUMYA DIXIT,2,,,,Unknown Slot,,,MBA 2nd Year,Only for MBA and SOM PhD
MB592,MANAGEMENT SCIENCE IN PRACTICE,PROF. ANJAN KUMAR SWAIN (LC),2,,,,Unknown Slot,,,MBA 2nd Year,Only for MBA and SOM PhD
